,TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
0,Output,Total Use-(Use),Current prices,1966,..
1,Output,Total Use-(Use),Current prices,1967,..
2,Output,Total Use-(Use),Current prices,1968,..
3,Output,Total Use-(Use),Current prices,1969,..
4,Output,Total Use-(Use),Current prices,1970,..
5,Output,Total Use-(Use),Current prices,1971,..
6,Output,Total Use-(Use),Current prices,1972,..
7,Output,Total Use-(Use),Current prices,1973,..
8,Output,Total Use-(Use),Current prices,1974,..
9,Output,Total Use-(Use),Current prices,1975,..
10,Output,Total Use-(Use),Current prices,1976,..
11,Output,Total Use-(Use),Current prices,1977,..
12,Output,Total Use-(Use),Current prices,1978,..
13,Output,Total Use-(Use),Current prices,1979,..
14,Output,Total Use-(Use),Current prices,1980,..
15,Output,Total Use-(Use),Current prices,1981,..
16,Output,Total Use-(Use),Current prices,1982,..
17,Output,Total Use-(Use),Current prices,1983,..
18,Output,Total Use-(Use),Current prices,1984,..
19,Output,Total Use-(Use),Current prices,1985,..
20,Output,Total Use-(Use),Current prices,1986,..
21,Output,Total Use-(Use),Current prices,1987,..
22,Output,Total Use-(Use),Current prices,1988,..
23,Output,Total Use-(Use),Current prices,1989,..
24,Output,Total Use-(Use),Current prices,1990,..
25,Output,Total Use-(Use),Current prices,1991,..
26,Output,Total Use-(Use),Current prices,1992,..
27,Output,Total Use-(Use),Current prices,1993,..
28,Output,Total Use-(Use),Current prices,1994,..
29,Output,Total Use-(Use),Current prices,1995,..
30,Output,Total Use-(Use),Current prices,1996,..
31,Output,Total Use-(Use),Current prices,1997,..
32,Output,Total Use-(Use),Current prices,1998,..
33,Output,Total Use-(Use),Current prices,1999,..
34,Output,Total Use-(Use),Current prices,2000,..
35,Output,Total Use-(Use),Current prices,2001,..
36,Output,Total Use-(Use),Current prices,2002,..
37,Output,Total Use-(Use),Current prices,2003,..
38,Output,Total Use-(Use),Current prices,2004,..
39,Output,Total Use-(Use),Current prices,2005,..
40,Output,Total Use-(Use),Current prices,2006,..
41,Output,Total Use-(Use),Current prices,2007,..
42,Output,Total Use-(Use),Current prices,2008,..
43,Output,Total Use-(Use),Current prices,2009,..
44,Output,Total Use-(Use),Current prices,2010,..
45,Output,Total Use-(Use),Current prices,2011,..
46,Output,Total Use-(Use),Current prices,2012,..
47,Output,Total Use-(Use),Current prices,2013,..
48,Output,Total Use-(Use),Current prices,2014,..
49,Output,Total Use-(Use),Current prices,2015,..
50,Output,Total Use-(Use),Current prices,2016,..
51,Output,Total Use-(Use),Current prices,2017,..
52,Output,Total Use-(Use),Current prices,2018,..
53,Output,Total Use-(Use),Current prices,2019,..
54,Output,Total Use-(Use),Current prices,2020,..
55,Output,Total Use-(Use),Current prices,2021,..
56,Output,Total Use-(Use),Constant prices of the previous year,1966,0.000
57,Output,Total Use-(Use),Constant prices of the previous year,1967,..
58,Output,Total Use-(Use),Constant prices of the previous year,1968,..
59,Output,Total Use-(Use),Constant prices of the previous year,1969,..
60,Output,Total Use-(Use),Constant prices of the previous year,1970,..
61,Output,Total Use-(Use),Constant prices of the previous year,1971,..
62,Output,Total Use-(Use),Constant prices of the previous year,1972,..
63,Output,Total Use-(Use),Constant prices of the previous year,1973,..
64,Output,Total Use-(Use),Constant prices of the previous year,1974,..
65,Output,Total Use-(Use),Constant prices of the previous year,1975,..
66,Output,Total Use-(Use),Constant prices of the previous year,1976,..
67,Output,Total Use-(Use),Constant prices of the previous year,1977,..
68,Output,Total Use-(Use),Constant prices of the previous year,1978,..
69,Output,Total Use-(Use),Constant prices of the previous year,1979,..
70,Output,Total Use-(Use),Constant prices of the previous year,1980,..
71,Output,Total Use-(Use),Constant prices of the previous year,1981,..
72,Output,Total Use-(Use),Constant prices of the previous year,1982,..
73,Output,Total Use-(Use),Constant prices of the previous year,1983,..
74,Output,Total Use-(Use),Constant prices of the previous year,1984,..
75,Output,Total Use-(Use),Constant prices of the previous year,1985,..
76,Output,Total Use-(Use),Constant prices of the previous year,1986,..
77,Output,Total Use-(Use),Constant prices of the previous year,1987,..
78,Output,Total Use-(Use),Constant prices of the previous year,1988,..
79,Output,Total Use-(Use),Constant prices of the previous year,1989,..
80,Output,Total Use-(Use),Constant prices of the previous year,1990,..
81,Output,Total Use-(Use),Constant prices of the previous year,1991,..
82,Output,Total Use-(Use),Constant prices of the previous year,1992,..
83,Output,Total Use-(Use),Constant prices of the previous year,1993,..
84,Output,Total Use-(Use),Constant prices of the previous year,1994,..
85,Output,Total Use-(Use),Constant prices of the previous year,1995,..
86,Output,Total Use-(Use),Constant prices of the previous year,1996,..
87,Output,Total Use-(Use),Constant prices of the previous year,1997,..
88,Output,Total Use-(Use),Constant prices of the previous year,1998,..
89,Output,Total Use-(Use),Constant prices of the previous year,1999,..
90,Output,Total Use-(Use),Constant prices of the previous year,2000,..
91,Output,Total Use-(Use),Constant prices of the previous year,2001,..
92,Output,Total Use-(Use),Constant prices of the previous year,2002,..
93,Output,Total Use-(Use),Constant prices of the previous year,2003,..
94,Output,Total Use-(Use),Constant prices of the previous year,2004,..
95,Output,Total Use-(Use),Constant prices of the previous year,2005,..
96,Output,Total Use-(Use),Constant prices of the previous year,2006,..
97,Output,Total Use-(Use),Constant prices of the previous year,2007,..
98,Output,Total Use-(Use),Constant prices of the previous year,2008,..
99,Output,Total Use-(Use),Constant prices of the previous year,2009,..
100,Output,Total Use-(Use),Constant prices of the previous year,2010,..
101,Output,Total Use-(Use),Constant prices of the previous year,2011,..
102,Output,Total Use-(Use),Constant prices of the previous year,2012,..
103,Output,Total Use-(Use),Constant prices of the previous year,2013,..
104,Output,Total Use-(Use),Constant prices of the previous year,2014,..
105,Output,Total Use-(Use),Constant prices of the previous year,2015,..
106,Output,Total Use-(Use),Constant prices of the previous year,2016,..
107,Output,Total Use-(Use),Constant prices of the previous year,2017,..
108,Output,Total Use-(Use),Constant prices of the previous year,2018,..
109,Output,Total Use-(Use),Constant prices of the previous year,2019,..
110,Output,Total Use-(Use),Constant prices of the previous year,2020,..
111,Output,Total Use-(Use),Constant prices of the previous year,2021,..
112,Output,Total Intermedialte Consumption-(Use),Current prices,1966,144581.775
113,Output,Total Intermedialte Consumption-(Use),Current prices,1967,155580.871
114,Output,Total Intermedialte Consumption-(Use),Current prices,1968,167877.088
115,Output,Total Intermedialte Consumption-(Use),Current prices,1969,190529.854
116,Output,Total Intermedialte Consumption-(Use),Current prices,1970,213742.609
117,Output,Total Intermedialte Consumption-(Use),Current prices,1971,233115.097
118,Output,Total Intermedialte Consumption-(Use),Current prices,1972,262533.801
119,Output,Total Intermedialte Consumption-(Use),Current prices,1973,309992.374
120,Output,Total Intermedialte Consumption-(Use),Current prices,1974,360332.525
121,Output,Total Intermedialte Consumption-(Use),Current prices,1975,391161.015
122,Output,Total Intermedialte Consumption-(Use),Current prices,1976,454294.206
123,Output,Total Intermedialte Consumption-(Use),Current prices,1977,500137.060
124,Output,Total Intermedialte Consumption-(Use),Current prices,1978,550151.057
125,Output,Total Intermedialte Consumption-(Use),Current prices,1979,613364.448
126,Output,Total Intermedialte Consumption-(Use),Current prices,1980,677929.606
127,Output,Total Intermedialte Consumption-(Use),Current prices,1981,751701.734
128,Output,Total Intermedialte Consumption-(Use),Current prices,1982,851239.172
129,Output,Total Intermedialte Consumption-(Use),Current prices,1983,924296.583
130,Output,Total Intermedialte Consumption-(Use),Current prices,1984,1026436.669
131,Output,Total Intermedialte Consumption-(Use),Current prices,1985,1117584.720
132,Output,Total Intermedialte Consumption-(Use),Current prices,1986,1173168.531
133,Output,Total Intermedialte Consumption-(Use),Current prices,1987,1217138.897
134,Output,Total Intermedialte Consumption-(Use),Current prices,1988,1263866.026
135,Output,Total Intermedialte Consumption-(Use),Current prices,1989,1347244.235
136,Output,Total Intermedialte Consumption-(Use),Current prices,1990,1400009.050
137,Output,Total Intermedialte Consumption-(Use),Current prices,1991,1445959.100
138,Output,Total Intermedialte Consumption-(Use),Current prices,1992,1489570.508
139,Output,Total Intermedialte Consumption-(Use),Current prices,1993,1503348.792
140,Output,Total Intermedialte Consumption-(Use),Current prices,1994,1603057.256
141,Output,Total Intermedialte Consumption-(Use),Current prices,1995,1685313.114
142,Output,Total Intermedialte Consumption-(Use),Current prices,1996,1760963.351
143,Output,Total Intermedialte Consumption-(Use),Current prices,1997,1856532.195
144,Output,Total Intermedialte Consumption-(Use),Current prices,1998,1914787.621
145,Output,Total Intermedialte Consumption-(Use),Current prices,1999,2014271.225
146,Output,Total Intermedialte Consumption-(Use),Current prices,2000,2206071.051
147,Output,Total Intermedialte Consumption-(Use),Current prices,2001,2319191.477
148,Output,Total Intermedialte Consumption-(Use),Current prices,2002,2366344.839
149,Output,Total Intermedialte Consumption-(Use),Current prices,2003,2389950.209
150,Output,Total Intermedialte Consumption-(Use),Current prices,2004,2495322.037
151,Output,Total Intermedialte Consumption-(Use),Current prices,2005,2696587.639
152,Output,Total Intermedialte Consumption-(Use),Current prices,2006,2924454.831
153,Output,Total Intermedialte Consumption-(Use),Current prices,2007,3093079.116
154,Output,Total Intermedialte Consumption-(Use),Current prices,2008,3263452.028
155,Output,Total Intermedialte Consumption-(Use),Current prices,2009,3002407.875
156,Output,Total Intermedialte Consumption-(Use),Current prices,2010,3120573.314
157,Output,Total Intermedialte Consumption-(Use),Current prices,2011,3257067.294
158,Output,Total Intermedialte Consumption-(Use),Current prices,2012,3365520.451
159,Output,Total Intermedialte Consumption-(Use),Current prices,2013,3384439.415
160,Output,Total Intermedialte Consumption-(Use),Current prices,2014,3451841.352
161,Output,Total Intermedialte Consumption-(Use),Current prices,2015,3549922.193
162,Output,Total Intermedialte Consumption-(Use),Current prices,2016,3646143.858
163,Output,Total Intermedialte Consumption-(Use),Current prices,2017,3821329.612
164,Output,Total Intermedialte Consumption-(Use),Current prices,2018,3957151.539
165,Output,Total Intermedialte Consumption-(Use),Current prices,2019,4065818.773
166,Output,Total Intermedialte Consumption-(Use),Current prices,2020,4055548.955
167,Output,Total Intermedialte Consumption-(Use),Current prices,2021,4491239.552
168,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1966,0.000
169,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1967,149257.892
170,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1968,160865.522
171,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1969,178899.150
172,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1970,197254.094
173,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1971,219131.944
174,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1972,243752.227
175,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1973,273734.188
176,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1974,307060.662
177,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1975,351347.673
178,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1976,418426.592
179,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1977,463478.062
180,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1978,514012.181
181,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1979,573821.105
182,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1980,611416.179
183,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1981,669299.359
184,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1982,767409.572
185,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1983,865130.067
186,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1984,972634.240
187,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1985,1076645.294
188,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1986,1186260.114
189,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1987,1186606.775
190,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1988,1231435.292
191,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1989,1271162.822
192,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1990,1372612.399
193,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1991,1411536.923
194,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1992,1468033.332
195,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1993,1509362.870
196,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1994,1576468.711
197,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1995,1657217.616
198,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1996,1734535.064
199,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1997,1815647.790
200,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1998,1910166.529
201,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1999,1993758.567
202,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2000,2114399.472
203,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2001,2258580.686
204,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2002,2342756.361
205,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2003,2371267.027
206,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2004,2446595.474
207,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2005,2624050.129
208,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2006,2846776.288
209,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2007,3008167.688
210,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2008,3120505.427
211,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2009,3048980.717
212,Output,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2010,3008480.970
