,TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
41,Compensation of Employees,Total Use-(Use),Current prices,2007,902638.882
42,Compensation of Employees,Total Use-(Use),Current prices,2008,949819.299
43,Compensation of Employees,Total Use-(Use),Current prices,2009,945677.129
44,Compensation of Employees,Total Use-(Use),Current prices,2010,953668.287
45,Compensation of Employees,Total Use-(Use),Current prices,2011,966473.838
46,Compensation of Employees,Total Use-(Use),Current prices,2012,977515.512
47,Compensation of Employees,Total Use-(Use),Current prices,2013,993803.713
48,Compensation of Employees,Total Use-(Use),Current prices,2014,1017742.619
49,Compensation of Employees,Total Use-(Use),Current prices,2015,1049061.463
50,Compensation of Employees,Total Use-(Use),Current prices,2016,1083211.44
51,Compensation of Employees,Total Use-(Use),Current prices,2017,1118478.589
52,Compensation of Employees,Total Use-(Use),Current prices,2018,1154313.812
53,Compensation of Employees,Total Use-(Use),Current prices,2019,1194835.733
54,Compensation of Employees,Total Use-(Use),Current prices,2020,1212599.762
55,Compensation of Employees,Total Use-(Use),Current prices,2021,1280136.621
56,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1966,0.0
57,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1967,0.0
58,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1968,0.0
59,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1969,0.0
60,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1970,0.0
61,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1971,0.0
62,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1972,0.0
63,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1973,0.0
64,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1974,0.0
65,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1975,0.0
66,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1976,0.0
67,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1977,0.0
68,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1978,0.0
69,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1979,0.0
70,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1980,0.0
71,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1981,0.0
72,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1982,0.0
73,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1983,0.0
74,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1984,0.0
75,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1985,0.0
76,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1986,0.0
77,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1987,0.0
78,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1988,0.0
79,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1989,0.0
80,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1990,0.0
81,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1991,0.0
82,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1992,0.0
83,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1993,0.0
84,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1994,0.0
85,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1995,0.0
86,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1996,0.0
87,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1997,0.0
88,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1998,0.0
89,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,1999,0.0
90,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2000,0.0
91,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2001,0.0
92,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2002,0.0
93,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2003,0.0
94,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2004,0.0
95,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2005,0.0
96,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2006,0.0
97,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2007,0.0
98,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2008,0.0
99,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2009,0.0
100,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2010,0.0
101,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2011,0.0
102,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2012,0.0
103,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2013,0.0
104,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2014,0.0
105,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2015,0.0
106,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2016,0.0
107,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2017,0.0
108,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2018,0.0
109,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2019,0.0
110,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2020,0.0
111,Compensation of Employees,Total Use-(Use),Constant prices of the previous year,2021,0.0
112,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1966,40777.4
113,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1967,45384.932
114,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1968,50493.377
115,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1969,57580.122
116,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1970,65214.271
117,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1971,73728.74
118,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1972,81826.145
119,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1973,93844.006
120,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1974,110259.868
121,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1975,123923.559
122,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1976,141806.421
123,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1977,156922.521
124,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1978,173967.939
125,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1979,194401.321
126,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1980,214133.155
127,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1981,232680.961
128,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1982,263928.925
129,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1983,288503.562
130,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1984,311366.772
131,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1985,336626.524
132,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1986,362840.542
133,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1987,393321.643
134,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1988,414491.381
135,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1989,432127.947
136,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1990,450270.556
137,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1991,464902.37
138,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1992,478116.576
139,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1993,480818.497
140,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1994,496432.238
141,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1995,518699.641
142,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1996,546120.439
143,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1997,572744.64
144,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1998,605623.89
145,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,1999,635826.814
146,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2000,662276.747
147,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2001,696904.94
148,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2002,722152.346
149,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2003,741113.002
150,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2004,762990.805
151,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2005,800931.752
152,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2006,848966.886
153,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2007,902638.882
154,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2008,949819.299
155,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2009,945677.129
156,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2010,953668.287
157,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2011,966473.838
158,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2012,977515.512
159,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2013,993803.713
160,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2014,1017742.619
161,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2015,1049061.463
162,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2016,1083211.44
163,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2017,1118478.589
164,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2018,1154313.812
165,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2019,1194835.733
166,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2020,1212599.762
167,Compensation of Employees,Total Intermedialte Consumption-(Use),Current prices,2021,1280136.621
168,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1966,0.0
169,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1967,0.0
170,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1968,0.0
171,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1969,0.0
172,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1970,0.0
173,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1971,0.0
174,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1972,0.0
175,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1973,0.0
176,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1974,0.0
177,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1975,0.0
178,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1976,0.0
179,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1977,0.0
180,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1978,0.0
181,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1979,0.0
