,TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
0,"Other Production Taxes, net",Total Use-(Use),Current prices,1966,1165.147
1,"Other Production Taxes, net",Total Use-(Use),Current prices,1967,1278.348
2,"Other Production Taxes, net",Total Use-(Use),Current prices,1968,1365.968
3,"Other Production Taxes, net",Total Use-(Use),Current prices,1969,1403.656
4,"Other Production Taxes, net",Total Use-(Use),Current prices,1970,1851.959
5,"Other Production Taxes, net",Total Use-(Use),Current prices,1971,2140.177
6,"Other Production Taxes, net",Total Use-(Use),Current prices,1972,2122.955
7,"Other Production Taxes, net",Total Use-(Use),Current prices,1973,2336.779
8,"Other Production Taxes, net",Total Use-(Use),Current prices,1974,968.686
9,"Other Production Taxes, net",Total Use-(Use),Current prices,1975,2856.419
10,"Other Production Taxes, net",Total Use-(Use),Current prices,1976,2019.381
11,"Other Production Taxes, net",Total Use-(Use),Current prices,1977,2517.423
12,"Other Production Taxes, net",Total Use-(Use),Current prices,1978,3230.021
13,"Other Production Taxes, net",Total Use-(Use),Current prices,1979,3225.133
14,"Other Production Taxes, net",Total Use-(Use),Current prices,1980,3083.548
15,"Other Production Taxes, net",Total Use-(Use),Current prices,1981,2294.196
16,"Other Production Taxes, net",Total Use-(Use),Current prices,1982,1044.155
17,"Other Production Taxes, net",Total Use-(Use),Current prices,1983,-657.012
18,"Other Production Taxes, net",Total Use-(Use),Current prices,1984,-447.439
19,"Other Production Taxes, net",Total Use-(Use),Current prices,1985,250.276
20,"Other Production Taxes, net",Total Use-(Use),Current prices,1986,1407.645
21,"Other Production Taxes, net",Total Use-(Use),Current prices,1987,4190.837
22,"Other Production Taxes, net",Total Use-(Use),Current prices,1988,544.383
23,"Other Production Taxes, net",Total Use-(Use),Current prices,1989,-1330.968
24,"Other Production Taxes, net",Total Use-(Use),Current prices,1990,-2277.74
25,"Other Production Taxes, net",Total Use-(Use),Current prices,1991,-1176.502
26,"Other Production Taxes, net",Total Use-(Use),Current prices,1992,-6118.601
27,"Other Production Taxes, net",Total Use-(Use),Current prices,1993,-5.999
28,"Other Production Taxes, net",Total Use-(Use),Current prices,1994,-534.557
29,"Other Production Taxes, net",Total Use-(Use),Current prices,1995,-1150.608
30,"Other Production Taxes, net",Total Use-(Use),Current prices,1996,-2560.707
31,"Other Production Taxes, net",Total Use-(Use),Current prices,1997,202.964
32,"Other Production Taxes, net",Total Use-(Use),Current prices,1998,2926.328
33,"Other Production Taxes, net",Total Use-(Use),Current prices,1999,3415.83
34,"Other Production Taxes, net",Total Use-(Use),Current prices,2000,4579.911
35,"Other Production Taxes, net",Total Use-(Use),Current prices,2001,6584.129
36,"Other Production Taxes, net",Total Use-(Use),Current prices,2002,5348.167
37,"Other Production Taxes, net",Total Use-(Use),Current prices,2003,6037.736
38,"Other Production Taxes, net",Total Use-(Use),Current prices,2004,6410.574
39,"Other Production Taxes, net",Total Use-(Use),Current prices,2005,2590.479
40,"Other Production Taxes, net",Total Use-(Use),Current prices,2006,2089.281
41,"Other Production Taxes, net",Total Use-(Use),Current prices,2007,2118.431
42,"Other Production Taxes, net",Total Use-(Use),Current prices,2008,4595.615
43,"Other Production Taxes, net",Total Use-(Use),Current prices,2009,1517.982
44,"Other Production Taxes, net",Total Use-(Use),Current prices,2010,4295.613
45,"Other Production Taxes, net",Total Use-(Use),Current prices,2011,4806.642
46,"Other Production Taxes, net",Total Use-(Use),Current prices,2012,5235.774
