,TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
47,"Other Production Taxes, net",Total Use-(Use),Current prices,2013,11011.462
48,"Other Production Taxes, net",Total Use-(Use),Current prices,2014,14107.013
49,"Other Production Taxes, net",Total Use-(Use),Current prices,2015,17515.582
50,"Other Production Taxes, net",Total Use-(Use),Current prices,2016,19754.17
51,"Other Production Taxes, net",Total Use-(Use),Current prices,2017,20843.982
52,"Other Production Taxes, net",Total Use-(Use),Current prices,2018,20938.974
53,"Other Production Taxes, net",Total Use-(Use),Current prices,2019,24508.562
54,"Other Production Taxes, net",Total Use-(Use),Current prices,2020,-13247.177
55,"Other Production Taxes, net",Total Use-(Use),Current prices,2021,-875.609
56,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1966,0.0
57,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1967,0.0
58,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1968,0.0
59,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1969,0.0
60,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1970,0.0
61,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1971,0.0
62,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1972,0.0
63,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1973,0.0
64,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1974,0.0
65,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1975,0.0
66,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1976,0.0
67,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1977,0.0
68,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1978,0.0
69,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1979,0.0
70,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1980,0.0
71,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1981,0.0
72,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1982,0.0
73,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1983,0.0
74,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1984,0.0
75,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1985,0.0
76,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1986,0.0
77,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1987,0.0
78,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1988,0.0
79,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1989,0.0
80,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1990,0.0
81,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1991,0.0
82,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1992,0.0
83,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1993,0.0
84,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1994,0.0
85,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1995,0.0
86,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1996,0.0
87,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1997,0.0
88,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1998,0.0
89,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,1999,0.0
90,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2000,0.0
91,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2001,0.0
92,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2002,0.0
93,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2003,0.0
94,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2004,0.0
95,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2005,0.0
96,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2006,0.0
97,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2007,0.0
98,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2008,0.0
99,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2009,0.0
100,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2010,0.0
101,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2011,0.0
102,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2012,0.0
103,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2013,0.0
104,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2014,0.0
105,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2015,0.0
106,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2016,0.0
107,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2017,0.0
108,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2018,0.0
109,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2019,0.0
110,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2020,0.0
111,"Other Production Taxes, net",Total Use-(Use),Constant prices of the previous year,2021,0.0
112,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1966,1165.147
113,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1967,1278.348
114,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1968,1365.968
115,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1969,1403.656
116,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1970,1851.959
117,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1971,2140.177
118,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1972,2122.955
119,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1973,2336.779
120,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1974,968.686
121,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1975,2856.419
122,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1976,2019.381
123,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1977,2517.423
124,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1978,3230.021
125,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1979,3225.133
126,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1980,3083.548
127,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1981,2294.196
128,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1982,1044.155
129,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1983,-657.012
130,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1984,-447.439
131,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1985,250.276
132,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1986,1407.645
133,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1987,4190.837
134,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1988,544.383
135,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1989,-1330.968
136,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1990,-2277.74
137,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1991,-1176.502
138,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1992,-6118.601
139,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1993,-5.999
140,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1994,-534.557
141,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1995,-1150.608
142,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1996,-2560.707
143,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1997,202.964
144,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1998,2926.328
145,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,1999,3415.83
146,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2000,4579.911
147,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2001,6584.129
148,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2002,5348.167
149,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2003,6037.736
150,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2004,6410.574
151,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2005,2590.479
152,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2006,2089.281
153,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2007,2118.431
154,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2008,4595.615
155,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2009,1517.982
156,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2010,4295.613
157,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2011,4806.642
158,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2012,5235.774
159,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2013,11011.462
160,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2014,14107.013
161,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2015,17515.582
162,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2016,19754.17
163,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2017,20843.982
164,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2018,20938.974
165,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2019,24508.562
166,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2020,-13247.177
167,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Current prices,2021,-875.609
168,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1966,0.0
169,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1967,0.0
170,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1968,0.0
171,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1969,0.0
172,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1970,0.0
173,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1971,0.0
174,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1972,0.0
175,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1973,0.0
176,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1974,0.0
177,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1975,0.0
178,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1976,0.0
179,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1977,0.0
180,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1978,0.0
181,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1979,0.0
182,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1980,0.0
183,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1981,0.0
184,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1982,0.0
185,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1983,0.0
186,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1984,0.0
187,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1985,0.0
188,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1986,0.0
189,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1987,0.0
190,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1988,0.0
191,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1989,0.0
192,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1990,0.0
193,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1991,0.0
194,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1992,0.0
195,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1993,0.0
196,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1994,0.0
197,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1995,0.0
198,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1996,0.0
199,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1997,0.0
200,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1998,0.0
201,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1999,0.0
202,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2000,0.0
203,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2001,0.0
204,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2002,0.0
205,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2003,0.0
206,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2004,0.0
207,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2005,0.0
208,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2006,0.0
209,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2007,0.0
210,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2008,0.0
211,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2009,0.0
212,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2010,0.0
213,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2011,0.0
214,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2012,0.0
215,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2013,0.0
216,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2014,0.0
217,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2015,0.0
218,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2016,0.0
219,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2017,0.0
220,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2018,0.0
221,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2019,0.0
222,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2020,0.0
223,"Other Production Taxes, net",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2021,0.0
224,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1966,117.327
225,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1967,128.827
226,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1968,135.085
227,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1969,136.434
228,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1970,173.966
229,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1971,192.674
230,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1972,189.667
231,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1973,206.166
232,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1974,159.217
233,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1975,246.558
234,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1976,188.839
235,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1977,208.764
236,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1978,154.892
237,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1979,75.151
238,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1980,-16.953
239,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1981,-263.421
240,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1982,-365.548
241,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1983,-611.771
242,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1984,-531.467
243,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1985,-508.989
244,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1986,-421.874
245,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1987,-226.352
246,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1988,-617.844
247,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1989,-605.14
248,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1990,-572.606
249,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1991,-544.591
250,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1992,-838.828
251,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1993,-703.98
252,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1994,-1277.036
253,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1995,-1059.912
254,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1996,-1265.314
255,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1997,-1041.705
256,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1998,-768.653
257,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,1999,-982.154
258,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2000,-1057.018
259,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2001,-1125.099
260,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2002,-1384.689
261,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2003,-1725.576
262,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2004,-1697.275
263,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2005,-6477.111
264,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2006,-7565.305
265,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2007,-7572.324
266,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2008,-7057.858
267,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2009,-7717.939
268,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2010,-6645.699
269,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2011,-6824.77
270,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2012,-6879.113
271,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2013,-7094.699
272,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2014,-7421.549
273,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2015,-6637.295
274,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2016,-6118.648
275,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2017,-5632.729
276,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2018,-7044.764
277,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2019,-6116.638
278,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2020,-9745.823
279,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Current prices,2021,-7484.804
280,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1966,0.0
281,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1967,0.0
282,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1968,0.0
283,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1969,0.0
284,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1970,0.0
285,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1971,0.0
286,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1972,0.0
287,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1973,0.0
288,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1974,0.0
289,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1975,0.0
290,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1976,0.0
291,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1977,0.0
292,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1978,0.0
293,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1979,0.0
294,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1980,0.0
295,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1981,0.0
296,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1982,0.0
297,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1983,0.0
298,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1984,0.0
299,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1985,0.0
300,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1986,0.0
301,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1987,0.0
302,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1988,0.0
303,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1989,0.0
304,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1990,0.0
305,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1991,0.0
306,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1992,0.0
307,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1993,0.0
308,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1994,0.0
309,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1995,0.0
310,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1996,0.0
311,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1997,0.0
312,"Other Production Taxes, net","A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1998,0.0
