sector,year,V,D,P,Q
bol,1993,19124.021,19359.485999999997,0.6354700099915433,30094.29351395276
bol,1994,21287.533000000003,20987.828999999998,0.6445444551794905,33027.253324321784
bol,1995,20179.442,18476.511,0.7039504076130026,28665.99945360592
bol,1996,21827.208,21477.759,0.7154038728460353,30510.329659198684
bol,1997,25952.362,25417.711,0.7304520963473966,35529.177244851504
bol,1998,26781.347,25893.891000000003,0.7554867307951926,35449.129558915105
bol,1999,27275.006999999998,27152.006999999998,0.7589091248704374,35939.75366241175
bol,2000,24429.423000000003,24315.923,0.7624515026643134,32040.625422907207
bol,2001,26559.004,25521.206,0.793455940486022,33472.56305590402
bol,2002,27408.059999999998,27289.071000000004,0.7969156599063895,34392.67337677806
bol,2003,28752.558,28712.923000000003,0.7980157134321273,36030.0649674431
bol,2004,30220.51,29829.296000000002,0.808481763965624,37379.334138308346
bol,2005,32899.82,33019.602,0.8055489132713205,40841.4926244446
bol,2006,38183.389,36173.918999999994,0.8502973513587536,44905.92489672455
bol,2007,41634.417,39609.41,0.8937682863861357,46583.009974928376
bol,2008,42880.805,40648.691,0.9428471781221207,45480.1223305416
bol,2009,43047.191,42110.205,0.9638262877236989,44662.81066235079
bol,2010,45079.255000000005,43448.570999999996,1.0,45079.255000000005
bol,2011,44174.418000000005,42524.3,1.0388041190566335,42524.3
bol,2012,50523.141,48660.653000000006,1.0785643788725785,46842.95345708686
bol,2013,51670.753,52094.672999999995,1.0697875695529067,48300.01251705945
bol,2014,50371.478,48696.653999999995,1.1065807729707202,45519.928802642244
bol,2015,52389.209,50873.572,1.1395482784370756,45973.663416747346
bol,2016,53575.94,53242.112,1.1466932452388074,46722.120516932504
bol,2017,54314.777,53824.189,1.1571449391007478,46938.61171981588
bol,2018,55037.596000000005,55521.756,1.1470544208232816,47981.67811471191
byg,1993,63311.995,63272.124,0.6983211085656708,90663.15513509368
byg,1994,66057.156,64332.038,0.7170471796123644,92123.86280594603
byg,1995,72831.734,70911.278,0.7364666231368435,98893.46198716608
byg,1996,81285.14,80717.581,0.7416450273330857,109601.13936487492
byg,1997,92351.479,89704.309,0.763530937707863,120953.15911787574
byg,1998,93018.409,92135.5,0.7708476433933014,120670.29042279917
byg,1999,89725.0,88686.412,0.779874878729607,115050.50675072309
byg,2000,96811.652,95717.855,0.7887867458282777,122734.88685251858
byg,2001,105666.979,102670.704,0.8118061848189426,130162.81592331911
byg,2002,107219.407,104986.177,0.8290746479435998,129324.18964437317
byg,2003,112399.584,111222.38,0.8378497702873023,134152.43160054542
byg,2004,116330.913,114932.118,0.8480469204818984,137175.09042293974
byg,2005,127629.897,125222.267,0.8643521931468616,147659.59757137386
byg,2006,149058.861,143792.785,0.8960070800028194,166359.02140363777
byg,2007,155026.668,147138.348,0.9440434394250949,164215.60865293274
byg,2008,148738.692,142110.186,0.9880768601011463,150533.52426933075
byg,2009,126665.116,126298.643,0.9909439019200503,127822.69082495387
byg,2010,122248.676,121141.58,1.0,122248.67600000002
