sector,year,V,D,P,Q
bol,1993,2670.676,0.0,0.0,inf
bol,1994,2632.952,0.0,,
bol,1995,1626.2630000000001,0.0,,
bol,1996,1565.3379999999997,0.0,,
bol,1997,2084.1189999999997,0.0,,
bol,1998,2377.2380000000003,0.0,,
bol,1999,3439.964,0.0,,
bol,2000,4135.253000000001,0.0,,
bol,2001,4194.476000000001,0.0,,
bol,2002,4063.234,0.0,,
bol,2003,4827.536,0.0,,
bol,2004,5261.716,0.0,,
bol,2005,6501.813,0.0,,
bol,2006,6840.992,0.0,,
bol,2007,6697.656000000001,0.0,,
bol,2008,8636.149,0.0,,
bol,2009,8400.134,0.0,,
bol,2010,10605.713,0.0,,
bol,2011,11431.76,0.0,,
bol,2012,12545.677,0.0,,
bol,2013,13696.358,0.0,,
bol,2014,15222.261,0.0,,
bol,2015,14847.376,0.0,,
bol,2016,16147.769,0.0,,
bol,2017,16146.347,0.0,,
bol,2018,17378.949,0.0,,
byg,1993,-221.438,0.0,0.0,-inf
byg,1994,-195.182,0.0,,
byg,1995,-236.478,0.0,,
byg,1996,-246.014,0.0,,
byg,1997,-149.036,0.0,,
byg,1998,67.737,0.0,,
byg,1999,176.369,0.0,,
byg,2000,119.717,0.0,,
byg,2001,254.284,0.0,,
byg,2002,217.589,0.0,,
byg,2003,256.195,0.0,,
byg,2004,297.076,0.0,,
byg,2005,241.738,0.0,,
byg,2006,245.897,0.0,,
byg,2007,268.444,0.0,,
byg,2008,192.932,0.0,,
byg,2009,249.281,0.0,,
byg,2010,65.963,0.0,,
byg,2011,27.944,0.0,,
byg,2012,51.596,0.0,,
byg,2013,245.867,0.0,,
byg,2014,354.793,0.0,,
byg,2015,505.304,0.0,,
byg,2016,653.735,0.0,,
byg,2017,666.372,0.0,,
byg,2018,744.529,0.0,,
ene,1993,-0.04000000000000048,0.0,-0.0,inf
ene,1994,11.168,0.0,,
ene,1995,43.663,0.0,,
ene,1996,21.515,0.0,,
ene,1997,52.928000000000004,0.0,,
ene,1998,-315.402,0.0,,
ene,1999,-282.31199999999995,0.0,,
ene,2000,-290.63800000000003,0.0,,
ene,2001,-325.498,0.0,,
ene,2002,-527.776,0.0,,
ene,2003,-430.266,0.0,,
ene,2004,-404.051,0.0,,
ene,2005,-346.408,0.0,,
ene,2006,-311.859,0.0,,
ene,2007,-328.49799999999993,0.0,,
ene,2008,-326.44700000000006,0.0,,
ene,2009,-374.306,0.0,,
ene,2010,-237.293,0.0,,
ene,2011,-105.688,0.0,,
ene,2012,-130.38299999999998,0.0,,
ene,2013,-82.60499999999999,0.0,,
ene,2014,-109.73600000000002,0.0,,
ene,2015,-150.03,0.0,,
ene,2016,-361.33500000000004,0.0,,
ene,2017,-468.4920000000001,0.0,,
ene,2018,-1343.7799999999997,0.0,,
fre,1993,-1746.9379999999999,0.0,0.0,-inf
fre,1994,-1836.8120000000001,0.0,,
fre,1995,-1548.941,0.0,,
fre,1996,-2283.444,0.0,,
fre,1997,-1727.155,0.0,,
fre,1998,-346.906,0.0,,
fre,1999,-871.7800000000001,0.0,,
fre,2000,-676.413,0.0,,
fre,2001,-556.42,0.0,,
fre,2002,-710.204,0.0,,
fre,2003,-484.32200000000006,0.0,,
fre,2004,-219.284,0.0,,
fre,2005,-279.478,0.0,,
fre,2006,-121.41399999999999,0.0,,
fre,2007,-135.57600000000005,0.0,,
fre,2008,17.240000000000016,0.0,,
fre,2009,-265.039,0.0,,
fre,2010,-15.968999999999998,0.0,,
fre,2011,97.10099999999998,0.0,,
fre,2012,184.06,0.0,,
fre,2013,420.613,0.0,,
fre,2014,678.117,0.0,,
fre,2015,979.0409999999999,0.0,,
fre,2016,1317.516,0.0,,
fre,2017,1362.745,0.0,,
fre,2018,1528.581,0.0,,
lan,1993,-703.98,0.0,-0.0,inf
lan,1994,-1277.036,0.0,,
lan,1995,-1059.912,0.0,,
lan,1996,-1265.3129999999999,0.0,,
lan,1997,-1041.705,0.0,,
lan,1998,-768.653,0.0,,
lan,1999,-982.154,0.0,,
lan,2000,-1057.018,0.0,,
lan,2001,-1125.1,0.0,,
lan,2002,-1384.689,0.0,,
lan,2003,-1725.576,0.0,,
lan,2004,-1697.275,0.0,,
lan,2005,-6477.111,0.0,,
lan,2006,-7565.305,0.0,,
lan,2007,-7572.324,0.0,,
lan,2008,-7057.858,0.0,,
lan,2009,-7717.94,0.0,,
lan,2010,-6645.698,0.0,,
lan,2011,-6824.77,0.0,,
lan,2012,-6879.113,0.0,,
lan,2013,-7094.7,0.0,,
lan,2014,-7421.549,0.0,,
lan,2015,-6637.294,0.0,,
lan,2016,-6118.647999999999,0.0,,
lan,2017,-5632.729,0.0,,
lan,2018,-7044.763999999999,0.0,,
off,1993,1061.076,0.0,0.0,inf
off,1994,896.0830000000001,0.0,,
off,1995,639.271,0.0,,
off,1996,620.842,0.0,,
off,1997,504.913,0.0,,
off,1998,426.26,0.0,,
off,1999,107.08100000000002,0.0,,
off,2000,127.32699999999988,0.0,,
off,2001,337.83399999999995,0.0,,
off,2002,25.90599999999995,0.0,,
off,2003,-506.5540000000001,0.0,,
off,2004,-909.792,0.0,,
off,2005,-1358.63,0.0,,
off,2006,-1498.75,0.0,,
off,2007,-1599.534,0.0,,
off,2008,-1713.782,0.0,,
off,2009,-2318.166,0.0,,
off,2010,-2295.553,0.0,,
off,2011,-3369.201,0.0,,
off,2012,-3798.446,0.0,,
off,2013,-3391.767,0.0,,
off,2014,-2640.4,0.0,,
off,2015,-1461.289,0.0,,
off,2016,-775.5730000000001,0.0,,
off,2017,-689.1479999999998,0.0,,
off,2018,-115.73699999999997,0.0,,
soe,1993,-89.779,0.0,0.0,-inf
soe,1994,-90.888,0.0,,
soe,1995,-105.897,0.0,,
soe,1996,-137.768,0.0,,
soe,1997,-118.894,0.0,,
soe,1998,-127.96,0.0,,
soe,1999,-100.906,0.0,,
soe,2000,-105.021,0.0,,
soe,2001,-111.191,0.0,,
soe,2002,-128.084,0.0,,
soe,2003,-132.451,0.0,,
soe,2004,-127.119,0.0,,
soe,2005,-131.763,0.0,,
soe,2006,-130.267,0.0,,
soe,2007,-261.268,0.0,,
soe,2008,-67.763,0.0,,
soe,2009,-80.113,0.0,,
soe,2010,93.492,0.0,,
soe,2011,108.987,0.0,,
soe,2012,122.637,0.0,,
soe,2013,-84.901,0.0,,
soe,2014,-133.434,0.0,,
soe,2015,-99.098,0.0,,
soe,2016,-34.255,0.0,,
soe,2017,19.501,0.0,,
soe,2018,7.124,0.0,,
tje,1993,-950.689,0.0,-0.0,inf
tje,1994,-650.5249999999997,0.0,,
tje,1995,-493.86300000000017,0.0,,
tje,1996,-807.1379999999998,0.0,,
tje,1997,631.245,0.0,,
tje,1998,1636.8779999999997,0.0,,
tje,1999,1949.9730000000002,0.0,,
tje,2000,2350.485,0.0,,
tje,2001,3933.066,0.0,,
tje,2002,3816.985,0.0,,
tje,2003,4248.896000000001,0.0,,
tje,2004,4233.552,0.0,,
tje,2005,4471.487999999999,0.0,,
tje,2006,4655.1539999999995,0.0,,
tje,2007,5084.555,0.0,,
tje,2008,4957.000999999999,0.0,,
tje,2009,3697.5769999999998,0.0,,
tje,2010,2753.451,0.0,,
tje,2011,3490.2509999999997,0.0,,
tje,2012,3203.2850000000003,0.0,,
tje,2013,7335.6050000000005,0.0,,
tje,2014,8177.756,0.0,,
tje,2015,9538.482,0.0,,
tje,2016,8914.727,0.0,,
tje,2017,9425.069,0.0,,
tje,2018,9710.414,0.0,,
udv,1993,-24.881,0.0,-0.0,inf
udv,1994,-24.318,0.0,,
udv,1995,-14.713,0.0,,
udv,1996,-28.725,0.0,,
udv,1997,-33.45,0.0,,
udv,1998,-22.866,0.0,,
udv,1999,-20.404,0.0,,
udv,2000,-23.78,0.0,,
udv,2001,-17.32,0.0,,
udv,2002,-24.8,0.0,,
udv,2003,-15.723,0.0,,
udv,2004,-24.249,0.0,,
udv,2005,-31.175,0.0,,
udv,2006,-25.168,0.0,,
udv,2007,-35.024,0.0,,
udv,2008,-41.858,0.0,,
udv,2009,-73.443,0.0,,
udv,2010,-28.491,0.0,,
udv,2011,-49.74,0.0,,
udv,2012,-63.54,0.0,,
udv,2013,-33.01,0.0,,
udv,2014,-20.795,0.0,,
udv,2015,-6.905,0.0,,
udv,2016,10.23,0.0,,
udv,2017,14.317,0.0,,
udv,2018,73.657,0.0,,
