asset,sector,year,V,D,P,Q
B,bol,1993,30531,0.0,0.697283423875817,43785.63860057777
B,bol,1994,34912,34089.10818504931,0.7141154518389262,48888.453414777316
B,bol,1995,39782,39988.4487910331,0.7104286803799827,55997.17621017501
B,bol,1996,42866,42194.40078961174,0.7217364210245149,59392.87356338636
B,bol,1997,47938,46962.9940948183,0.7367205012784876,65069.45295645975
B,bol,1998,49694,48415.02334798101,0.7561824008096836,65716.9486446525
B,bol,1999,53980,51884.81248956311,0.7867181943447826,68614.1497527678
B,bol,2000,61880,61177.63266893657,0.7957503378644772,77763.08353957454
B,bol,2001,58153,55801.60268463932,0.8292820845909372,70124.51020051318
B,bol,2002,61679,59477.6467579388,0.8599750071426161,71721.85178373598
B,bol,2003,70629,69080.61487144105,0.8792506391628299,80328.63082959909
B,bol,2004,79978,79186.71666886682,0.8880366629295062,90061.59693470762
B,bol,2005,95734,93352.38327392485,0.9106923562886667,105122.2175512086
B,bol,2006,113585,106672.59833768863,0.969705368585752,117133.51671513983
B,bol,2007,113086,107355.97039791213,1.0214625316639214,110709.88557533035
B,bol,2008,97589,94158.9513596369,1.0586726547305383,92180.52394565639
B,bol,2009,71971,77674.80949160969,0.9809323013768305,73369.99699059961
B,bol,2010,66871,65595.92392537004,1.0,66871.0
B,bol,2011,79695,77439.0,1.0291326076008214,77439.0
B,bol,2012,77186,75341.67316266388,1.0543252640378233,73208.90680774864
B,bol,2013,71327,71169.30649702095,1.0566613869024237,67502.23002762816
B,bol,2014,76473,76200.19413508842,1.0604443618258412,72114.10871979278
B,bol,2015,81793,80531.06999866008,1.0770616320913682,75940.87242823764
B,bol,2016,88646,85648.24245717251,1.114759657632365,79520.27990345021
B,bol,2017,101224,98513.2108604593,1.145434511763232,88371.70432745227
B,bol,2018,108922,106053.13791888126,1.1764198621421695,92587.69212010878
B,byg,1993,272,0.0,0.511674942131367,531.5874935500887
B,byg,1994,160,157.00253164556963,0.5214437619759802,306.84037602384865
B,byg,1995,986,658.2456140350877,0.781081618085662,1262.3520732910968
B,byg,1996,1204,1180.2317301740147,0.7968115448281331,1511.0222835183629
