asset,sector,year,V,D,P,Q
B,bol,1993,1364715,0.0,0.7031867698769881,1940757.503499015
B,bol,1994,1395313,1367155.040447351,0.7176696222517087,1944227.478407357
B,bol,1995,1432362,1402484.3010969844,0.732958432877757,1954219.9608458418
B,bol,1996,1494569,1443776.4606762493,0.7587441559717466,1969793.0959163175
B,bol,1997,1566759,1507860.7429923676,0.7883813147804427,1987311.1787743585
B,bol,1998,1626076,1581733.1671866484,0.8104830583360005,2006304.737989823
B,bol,1999,1732757,1642236.689805084,0.8551569949882176,2026244.3155526945
B,bol,2000,1754601,1759724.5265845524,0.8526671623288457,2057779.4918333073
B,bol,2001,1865848,1773651.5521315066,0.8969897822292164,2080121.7995627087
B,bol,2002,1912579,1886784.686322302,0.9092525676844075,2103462.8528691023
B,bol,2003,1991890,1939386.6034431488,0.9338680043625383,2132945.973836711
B,bol,2004,2037640,2027926.8225194763,0.9383409594854881,2171534.7490716814
B,bol,2005,2147797,2086182.8057413236,0.966054313271887,2223267.336518296
B,bol,2006,2375204,2209210.3069777708,1.0386408491094044,2286838.614172213
B,bol,2007,2514023,2432667.007948234,1.0733762470856578,2342163.8095922717
B,bol,2008,2610159,2551599.5314525054,1.098010341035761,2377171.6007135403
B,bol,2009,2271331,2637008.553040829,0.9457477576397083,2401624.515260321
B,bol,2010,2417548,2286390.599986362,1.0,2417548.0
B,bol,2011,2529675,2444242.901793647,1.034952376518578,2444242.901793647
B,bol,2012,2626657,2552427.396124841,1.0650508251777893,2466226.9047691044
B,bol,2013,2691413,2642521.0308513804,1.0847564136966166,2481121.997544355
B,bol,2014,2778751,2710750.957157094,1.1119678705110954,2498949.0017573973
B,bol,2015,2863777,2801242.320380078,1.13679134044947,2519175.5937089617
B,bol,2016,2992929,2889871.713452897,1.1773310745738568,2542130.3018637397
B,bol,2017,3080415,3029859.5205332255,1.1969757269291381,2573498.301342215
B,bol,2018,3202050,3121897.2245661053,1.227707336504693,2608154.1624702667
B,byg,1993,10809,0.0,0.6336560803450526,17058.14926310506
B,byg,1994,11016,10459.225617977527,0.6673873990329767,16506.155219534918
B,byg,1995,12065,11392.434211399375,0.7067874011750649,17070.196752151227
B,byg,1996,13315,12833.556788158892,0.7333021080585468,18157.5913306074
B,byg,1997,13377,13544.454342232926,0.7242360638266964,18470.496938966306
B,byg,1998,12881,12989.012678145442,0.7182135370341054,17934.77752200642
B,byg,1999,13919,13337.620030908904,0.7495200942005297,18570.54948586349
B,byg,2000,14711,14269.01421633847,0.7727366402900249,19037.533919031768
B,byg,2001,15493,14826.26666793333,0.8074864047809658,19186.700739813128
B,byg,2002,16010,15565.893540915275,0.8305245893248672,19276.97289855622
B,byg,2003,16887,16486.548653755315,0.8506976829704375,19850.76524604433
B,byg,2004,17601,16980.32531350713,0.8817928774339898,19960.469686735014
B,byg,2005,18939,18170.4598907767,0.9190893024231803,20606.267475932207
B,byg,2006,21022,20198.58641329259,0.956556806511221,21976.739757539322
B,byg,2007,23050,21962.33879532382,1.0039292534171358,22959.785185602763
B,byg,2008,22486,23006.149848602712,0.9812312508130855,22916.106658208497
B,byg,2009,21877,22426.988158327425,0.9571680299865465,22855.966052593183
B,byg,2010,22953,21969.8777922812,1.0,22953.0
B,byg,2011,24064,23386.120947240935,1.0289863827476289,23386.120947240932
B,byg,2012,24276,24214.647577687923,1.0315935157610319,23532.52480662502
B,byg,2013,25242,25271.20123042204,1.0304014948641638,24497.247069044297
B,byg,2014,25571,25786.961990997035,1.0217720348124184,25026.13022159531
B,byg,2015,26086,25701.580630764034,1.0370547120441596,25153.92842541678
B,byg,2016,27291,26702.12668257663,1.059925319164358,25748.040457714644
B,byg,2017,28097,27347.848865647415,1.0889602995418617,25801.67524180701
B,byg,2018,30088,29414.468925984344,1.1138952593385665,27011.516341192015
B,ene,1993,119134,0.0,0.5305832503773039,224534.03856092785
B,ene,1994,125388,121863.11534045405,0.5459303449812948,229677.65238310056
B,ene,1995,132011,127682.58688915051,0.5644372700084256,233880.7286734085
B,ene,1996,137807,133409.07300914984,0.5830443545823629,236357.661157206
B,ene,1997,144479,140436.24989389995,0.5998285013260255,240867.1806701482
B,ene,1998,150114,146654.7509397999,0.6139770793038711,244494.46902838725
B,ene,1999,155185,150336.57423980426,0.6337781310606994,244856.98132291238
B,ene,2000,161319,155544.53464058402,0.6573066328613055,245424.2691843321
B,ene,2001,165118,160234.7699872013,0.6773383617891553,243774.7650433516
B,ene,2002,168300,164749.7595728694,0.6919345229071122,243231.107031486
B,ene,2003,177412,168741.94210095576,0.7274865160942183,243869.81212037065
B,ene,2004,184776,175547.92767642546,0.7657284838223526,241307.46590180084
B,ene,2005,189177,182106.426157076,0.7954591193784323,237821.1467961068
B,ene,2006,197492,187624.49943871648,0.837293705642091,235869.44302722343
B,ene,2007,208998,194953.23127476167,0.8976137956141691,232837.33051027643
B,ene,2008,221157,206323.32078793476,0.9621480181616548,229857.56435122897
B,ene,2009,217525,219230.57214096398,0.9546626896363749,227855.34866022042
B,ene,2010,226655,216379.07191953258,1.0,226655.0
B,ene,2011,229507,223967.52852845134,1.0247333687519125,223967.52852845134
B,ene,2012,228497,228933.32948407982,1.022780305023208,223407.70435036402
B,ene,2013,227675,228655.58092504376,1.0183941498567397,223562.75321497838
B,ene,2014,223642,226024.57825515908,1.0076590175301539,221942.1412494903
B,ene,2015,227314,225807.12262207927,1.014383422679744,224090.80720137758
B,ene,2016,237150,231427.30238721732,1.0394669350032075,228145.78512713176
B,ene,2017,249979,242427.31016380928,1.0718466692947606,233222.72407160426
B,ene,2018,261434,254568.19162757936,1.1007548128807476,237504.2988145653
B,fre,1993,91904,0.0,0.6642161792159347,138364.5910409573
B,fre,1994,96157,92746.67024790673,0.6886396565412884,139633.25969775132
B,fre,1995,100917,97750.70351897238,0.7109457601569984,141947.53756983439
B,fre,1996,107147,103050.47628171218,0.739207698131332,144948.43637432414
B,fre,1997,113069,108755.57500569314,0.7685258913452139,147124.51626331816
B,fre,1998,117139,115681.75053866205,0.7782070548474275,150524.20724066277
B,fre,1999,120949,119238.83020685564,0.7893684038450913,153222.4996729607
B,fre,2000,127266,123446.12018126737,0.8137943836244917,156385.94043028465
B,fre,2001,134486,130412.854209925,0.839211380957524,160252.83146965198
B,fre,2002,141280,138508.1791502587,0.8560056498400481,165045.63962445734
B,fre,2003,145422,143321.0243413894,0.8685540323415799,167429.9981176177
B,fre,2004,151553,148159.0591520957,0.8884503588021169,170581.28065178165
B,fre,2005,157657,152163.4463514553,0.9205260631002112,171268.37177106304
B,fre,2006,166995,159118.8332511229,0.9660908565412379,172856.41290289114
B,fre,2007,179384,170767.16043011713,1.0148393975357652,176760.97364329817
B,fre,2008,179589,184727.1024864072,0.9866120894602423,182025.94709563098
B,fre,2009,174722,179910.12181097767,0.9581608625432774,182351.4263943423
B,fre,2010,180787,173223.0278566115,1.0,180787.0
B,fre,2011,186694,182106.8504263842,1.0251893301261072,182106.85042638416
