asset,sector,year,V,D,P,Q
B,fre,2012,190228,190279.55795613484,1.0249115458644646,185604.30972562774
B,fre,2013,192432,192485.89468449503,1.0246245779051228,187807.3239209558
B,fre,2014,194006,195415.50983519878,1.0172340774215038,190719.13171820642
B,fre,2015,201720,197748.51581527622,1.0376637076211834,194398.24147115808
B,fre,2016,210927,206401.71001393397,1.0604141450312479,198910.02113498258
B,fre,2017,220241,215147.69383416566,1.0855178949575133,202890.2526831399
B,fre,2018,229046,224508.09568615683,1.10745909188062,206821.18344529363
B,lan,1993,111721,0.0,0.6277638274492188,177966.60959895363
B,lan,1994,114443,110893.3261101037,0.6478584259745201,176648.16171504263
B,lan,1995,116312,113573.80331068799,0.6634779063954895,175306.51567871214
B,lan,1996,119720,114741.23064252356,0.6922670648455669,172939.03766273716
B,lan,1997,124624,118558.44487436501,0.7276840614832331,171261.13734850785
B,lan,1998,125853,123572.40622416876,0.7411138537167817,169816.01324658951
B,lan,1999,126040,121901.06520619291,0.7662770621771209,164483.58723135904
B,lan,2000,129787,125251.48316990648,0.794024937284551,163454.56408945107
B,lan,2001,133795,129485.11437252376,0.8204538954056753,163074.3674315115
B,lan,2002,135589,133064.637082009,0.8360186873361332,162184.1736959697
B,lan,2003,136880,134678.67702717142,0.8496834127608991,161095.2949584271
B,lan,2004,139956,135702.48877126453,0.8763162178757752,159709.47147281928
B,lan,2005,146306,138948.27472464874,0.9227197734308341,158559.5152643241
B,lan,2006,153774,146034.79038023486,0.9716199137897846,158265.5911200991
B,lan,2007,161800,154803.74250096548,1.0155316629390059,159325.41141232534
B,lan,2008,157238,161529.81853688945,0.9885491673522581,159059.36213688608
B,lan,2009,151071,155710.09806067805,0.9590971499027431,157513.76178661286
B,lan,2010,155081,148737.74510406732,1.0,155081.0
B,lan,2011,156061,152100.2241553916,1.0260405654666356,152100.22415539157
B,lan,2012,153764,153340.76220278177,1.0288725531426222,149449.02508122916
B,lan,2013,151456,151435.72442094825,1.0290103078690263,147186.0863217684
B,lan,2014,148092,149249.24689193914,1.0210315809718853,145041.54696080633
B,lan,2015,148341,145773.41657154178,1.0390155442272797,142770.7225596147
B,lan,2016,149090,145732.1126563979,1.0629560270911536,140259.800217695
B,lan,2017,149638,145928.26807952026,1.0899780835827553,137285.32917665673
B,lan,2018,149153,146096.1045182218,1.1127846401978618,134035.8184432519
B,off,1993,364334,0.0,0.5794755247715474,628730.6097071747
B,off,1994,357057,357280.75123267167,0.5791126214734454,616558.8294234276
B,off,1995,357069,350948.02195939934,0.5892130791403183,606009.9692983321
B,off,1996,377843,355181.9819003222,0.6268055498493554,602807.3620133223
B,off,1997,396273,374498.6831475885,0.6632496370022364,597471.8686482505
B,off,1998,406880,392047.8933780703,0.6883419522502784,591101.5574016039
B,off,1999,415344,401727.6579098725,0.7116729311168836,583616.4083804176
B,off,2000,427092,411712.35846157384,0.7382576919292075,578513.4441118081
B,off,2001,439153,424650.54955502553,0.7634702946305193,575206.400417357
B,off,2002,447849,436276.08345294034,0.7837225576837406,571438.190223335
B,off,2003,453321,444298.58782486443,0.7996376835476146,566908.0001192901
B,off,2004,466846,452416.4961175623,0.8251415614086365,565776.8579769828
B,off,2005,495736,465288.15515708074,0.8791377398128182,563888.8851541622
B,off,2006,525311,496426.44512914645,0.9302903376121867,564674.2514259975
B,off,2007,542661,522959.261645835,0.9653376886570099,562146.2897143869
B,off,2008,550979,542414.6705005968,0.9805796621755742,561891.1152792667
B,off,2009,545581,549073.3640273968,0.9743427157809064,559947.7382685961
B,off,2010,560241,545866.7374318107,1.0,560241.0
B,off,2011,576921,558553.3295392508,1.032884363031012,558553.3295392508
B,off,2012,587300,581010.2199637708,1.0440659485231412,562512.3593301278
B,off,2013,587352,589539.8561046633,1.040191289268989,564657.6798511463
B,off,2014,589739,594097.5472275104,1.032560012417096,571142.5901720652
B,off,2015,602953,596070.2196754033,1.044482909255156,577274.1656730211
B,off,2016,623272,610823.9593160293,1.0657685277215287,584809.9130234898
B,off,2017,648545,629673.7405706213,1.097709504583727,590816.602472565
B,off,2018,672505,655531.2054605868,1.1261327061636943,597180.9506278959
B,soe,1993,2277,0.0,8.518317247354922,267.3063157758119
B,soe,1994,2353,2198.420271550363,9.117274227502936,258.0815209991162
B,soe,1995,2504,2380.089005235602,9.591933165292478,261.052694681036
B,soe,1996,3173,45073.43624371859,0.6752359365038308,4699.098238800562
B,soe,1997,3709,3761.227806060699,0.6658597185890025,5570.24234452806
B,soe,1998,4072,3756.7451923076924,0.7217366723849781,5641.946925800626
B,soe,1999,4123,3919.020092822245,0.759302129043265,5429.986091564181
B,soe,2000,4350,4143.165899124697,0.7972078216892066,5456.544556703883
B,soe,2001,4384,4258.023076128663,0.8207938350261482,5341.170721464226
B,soe,2002,4472,4385.538116414145,0.8369759725719154,5343.044659045757
B,soe,2003,4632,4522.113892755446,0.8573142554334979,5402.919606950716
B,soe,2004,6676,6527.479933805199,0.8768207680935075,7613.87075093555
B,soe,2005,8687,8351.245945039576,0.9120725293634259,9524.461838646786
B,soe,2006,14757,14035.908571242246,0.9589300363065023,15389.026770753093
B,soe,2007,18001,17148.8492110647,1.006580638216577,17883.316364890066
B,soe,2008,17181,17625.71513317635,0.9811835613209771,17510.48496661425
B,soe,2009,16583,16986.96576173685,0.9578501084658758,17312.729678091157
B,soe,2010,16962,16247.053539798186,1.0,16962.0
B,soe,2011,17038,16627.772349807216,1.0246712332573846,16627.772349807216
B,soe,2012,16768,16765.058586030045,1.0248510108743043,16361.402605921377
B,soe,2013,16523,16529.236641221374,1.024464324652858,16128.428879745381
B,soe,2014,15602,15720.792801233929,1.0167230492331993,15345.378480173975
B,soe,2015,15845,15549.95037895911,1.0360146703039461,15294.184970712233
B,soe,2016,16314,15962.858523668325,1.0588043053992149,15407.946413524376
B,soe,2017,18130,17708.054489294478,1.0840333741062809,16724.577335958016
B,soe,2018,19754,19354.27163124488,1.1064221728460937,17853.944438935094
B,tje,1993,444063,0.0,0.6801652824590043,652875.1341064884
B,tje,1994,458849,447092.95916627,0.6980498200486466,657329.8736299698
B,tje,1995,478472,463668.73852542083,0.7203360195481553,664234.4503335136
B,tje,1996,484945,487637.59374904825,0.7163585323972204,676958.5034147374
B,tje,1997,492259,498001.7096106317,0.708097839814715,695185.0045592674
B,tje,1998,517673,507431.08136774343,0.7223899884933315,716611.5370448254
B,tje,1999,547451,530214.5321673786,0.7458737880572076,733972.7025747299
B,tje,2000,583491,563352.2208240571,0.7725373689495236,755291.6188292819
B,tje,2001,617975,599690.594289324,0.7960918265565683,776260.9530523653
B,tje,2002,641614,626827.9358769114,0.8148706079758501,787381.448931847
B,tje,2003,670889,647793.7747366005,0.843922477545572,794965.1986414497
B,tje,2004,696324,673883.6335814592,0.8720251479195605,798513.6686267125
B,tje,2005,725141,699672.875319315,0.9037669032102348,802354.0112215386
B,tje,2006,764927,731364.9270446012,0.9452404407269812,809240.6619967478
B,tje,2007,815146,773244.8299581776,0.9964618377577903,818040.3595126312
B,tje,2008,830232,829202.305751229,0.997699233042804,832146.5753440956
B,tje,2009,816021,833786.5212432658,0.9764412173908088,835709.2935717372
B,tje,2010,832851,813230.0443451526,1.0,832851.0000000001
B,tje,2011,854693,829247.1675104685,1.0306854620509878,829247.1675104685
B,tje,2012,846848,846430.3096554534,1.031194077303599,821230.4731368965
B,tje,2013,840544,843298.885444859,1.0278253765933045,817788.7208680887
B,tje,2014,832870,838592.1288693433,1.0208120156785319,815889.6909597922
B,tje,2015,851398,838916.0783397104,1.0360002996303652,821812.5036293626
B,tje,2016,881027,860823.6824509414,1.0603149687792879,830910.6500819307
B,tje,2017,917069,892032.7744288491,1.0900742842392193,841290.3719126239
B,tje,2018,951188,929500.2019654948,1.115508717571452,852694.367168021
B,udv,1993,16258,0.0,0.5540604081641403,29343.37079574105
B,udv,1994,17970,17540.336295791672,0.5676325337672337,31657.80488432834
B,udv,1995,20006,19080.935003663075,0.5951519916800299,33614.94253514282
B,udv,1996,21963,21112.904071448862,0.6191153594518977,35474.81041246308
B,udv,1997,24177,23452.545644720994,0.6382399707145565,37880.73625807558
B,udv,1998,26695,26013.14456879021,0.6549694894890389,40757.62371896981
B,udv,1999,29058,27894.34665243079,0.6822924968530848,42588.77260709045
B,udv,2000,31196,30009.224608815253,0.709275131539933,43982.93216945197
B,udv,2001,34364,33475.79870011561,0.7280940729325778,47197.197831305704
B,udv,2002,37382,36613.08703276385,0.7433848069136993,50286.2039314448
B,udv,2003,42880,40802.489885934454,0.7812351797542612,54887.44121006939
B,udv,2004,46605,44197.38181778847,0.8237923617863114,56573.7219254397
B,udv,2005,48787,46754.46871065356,0.8596046337985855,56755.16171243827
B,udv,2006,52058,49570.16176127563,0.9027466612232253,57666.233768686776
B,udv,2007,57856,53888.83929770841,0.9692045980651126,59694.31027824442
B,udv,2008,58864,58339.72150890322,0.9779144977885813,60193.4015019849
B,udv,2009,58946,59975.043402315765,0.9611355776762964,61329.53702797234
B,udv,2010,60689,58330.35707359675,1.0,60689.0
B,udv,2011,61878,60454.10316410609,1.0235533530623828,60454.10316410609
B,udv,2012,61832,62028.542133416515,1.0203101467454616,60601.181118534274
B,udv,2013,62668,62968.606282095716,1.0154392808027783,61715.16227977355
B,udv,2014,62913,63586.85775333681,1.004678226449911,62620.04922940029
B,udv,2015,65758,65358.64042217854,1.0108170914839716,65054.301667437445
B,udv,2016,67888,66244.44477371394,1.0358959297050896,65535.540833071056
B,udv,2017,67458,65355.80725411122,1.0692158900944513,63091.093786532634
B,udv,2018,68057,66180.49024155136,1.0995328920436278,61896.283860601055
M,bol,1993,3592,0.0,1.2618804082358588,2846.5455019003807
M,bol,1994,3904,4046.2754242546985,1.2175100795715617,3206.5442952010762
M,bol,1995,4178,4327.373431916781,1.1754837414613513,3554.2814014645123
M,bol,1996,4157,4273.583071171637,1.1434166206379996,3635.5952195976406
M,bol,1997,4227,4333.64822513417,1.1152778915937938,3790.0867863159947
M,bol,1998,4501,4643.713599508646,1.0810024525618505,4163.727833672488
M,bol,1999,4581,4718.570002422276,1.0494858045220676,4364.9947243318575
M,bol,2000,4940,4977.253842244771,1.041630593628874,4742.564235550947
M,bol,2001,5251,5203.007472585274,1.051238591519354,4995.060153195799
M,bol,2002,5624,5733.8011855991235,1.0311075754690797,5454.329047521045
M,bol,2003,6472,6392.490613451589,1.0439324250853546,6199.634999814123
M,bol,2004,7040,7056.876165982374,1.0414359129650133,6759.897476510882
M,bol,2005,7968,8069.850684584227,1.0282918084664365,7748.773192974507
M,bol,2006,9275,9340.818223169537,1.0210461541654918,9083.820513070266
M,bol,2007,10546,10457.358794324251,1.0297009936843327,10241.80812166236
M,bol,2008,9998,10150.91660273031,1.014189253814469,9858.120624327763
M,bol,2009,9246,9248.666903607058,1.0138968068048158,9119.271249248482
M,bol,2010,8910,9033.820548630909,1.0,8910.0
M,bol,2011,8286,8209.410565086238,1.0093294682129175,8209.410565086238
M,bol,2012,8006,7792.185366520436,1.0370250889091737,7720.160375696747
M,bol,2013,7624,7628.34766026734,1.0364340522946827,7355.991423786525
M,bol,2014,7305,7325.487074550203,1.0335354734726,7067.972205594219
M,bol,2015,7017,7054.367351611061,1.0280607821906194,6825.471919129128
M,bol,2016,6850,6857.229487826319,1.0269769110845468,6670.0623218159835
M,bol,2017,7024,7039.933990741186,1.0246524801148598,6855.007074410864
M,bol,2018,7185,7359.417481486613,1.0003683155827854,7182.354626869834
M,byg,1993,18480,0.0,0.8428093293398982,21926.667582659335
M,byg,1994,19746,19505.99321379742,0.8531794733412474,23144.01672448836
M,byg,1995,21225,21024.73756223446,0.8613060813750971,24642.80754422835
M,byg,1996,22149,22141.7471328632,0.8615882153248189,25707.17612664865
M,byg,1997,23324,22973.98654960072,0.8747146904978635,26664.69450367253
M,byg,1998,23964,23666.21278078103,0.8857210503960924,27055.92239146101
M,byg,1999,25078,24744.769510608494,0.8976487937101417,27937.429622500997
M,byg,2000,25570,25395.67351447288,0.9038106290856032,28291.32472791285
M,byg,2001,25855,25579.177435608573,0.9135565001585167,28301.478885557422
M,byg,2002,25086,25302.327622981,0.9057458548660009,27696.510964117308
M,byg,2003,26758,25554.532740808154,0.9484011243845579,28213.8003762532
M,byg,2004,27832,26474.666468757427,0.9970248397659943,27915.051751902472
M,byg,2005,27927,28756.087029390947,0.968278913319684,28841.89629231315
M,byg,2006,29613,30283.613333389105,0.94683692941363,31275.712934368898
M,byg,2007,31162,30731.280763170405,0.9601074755643737,32456.783009300332
M,byg,2008,34003,32584.76350104605,1.001895701669505,33938.66242098777
M,byg,2009,33770,32745.55059108464,1.0332401573541072,32683.592250689595
M,byg,2010,31602,32652.455452704497,1.0,31602.000000000004
M,byg,2011,30546,30748.411598349903,0.9934171689583874,30748.4115983499
M,byg,2012,30398,30160.640526625786,1.0012352050460727,30360.498558978667
M,byg,2013,29936,29755.356043795793,1.0073136767089304,29718.647420539488
M,byg,2014,29801,30464.696611932326,0.98536858127926,30243.505390958067
M,byg,2015,30264,30462.314799137544,0.9789536658809601,30914.639839226136
M,byg,2016,29823,30248.684987363995,0.9651770048768683,30898.995572117514
M,byg,2017,30402,30301.615911725938,0.9683744717690601,31394.879652765496
M,byg,2018,29759,29694.950561764406,0.9704631716909369,30664.739134971875
M,ene,1993,15163,0.0,0.7988522655880133,18980.9814069175
M,ene,1994,16001,15971.192674291451,0.800343178017598,19992.67369234472
M,ene,1995,16233,15749.344486489204,0.824921368626168,19678.239184220183
M,ene,1996,16498,16161.351746909348,0.8421048531535845,19591.384538655624
M,ene,1997,16681,16388.91261525029,0.8571130608374665,19461.843206194244
M,ene,1998,17258,17081.42086585296,0.8659734643915616,19929.017123088845
M,ene,1999,17146,17030.01917323916,0.8718710689292539,19665.751750493368
M,ene,2000,17300,17139.53895542632,0.8800335605118915,19658.34120000726
M,ene,2001,17572,17192.058061038377,0.8994821719663827,19535.68458348137
M,ene,2002,18525,18609.392572234767,0.8954030697669475,20689.00657758704
M,ene,2003,18991,18855.00054573918,0.901861533055578,21057.55629210284
M,ene,2004,20447,20075.14518725527,0.9185668444427634,22259.67562807463
M,ene,2005,20958,20913.967537297252,0.9205008036614424,22768.04095839583
M,ene,2006,23552,23589.006276733442,0.9190567281003937,25626.274505034995
M,ene,2007,25032,25044.799224142713,0.9185870412421544,27250.547717449415
M,ene,2008,26444,25633.672469948087,0.9476252670032154,27905.54549439876
M,ene,2009,28900,28320.241752384223,0.9670245916628633,29885.48610775712
M,ene,2010,32252,31188.477130310668,1.0,32252.0
M,ene,2011,32319,32959.38664899962,0.9805704318524064,32959.38664899962
M,ene,2012,33459,33601.97188245219,0.9763982362143252,34267.78005020438
M,ene,2013,41574,41733.82613469586,0.9726589683237098,42742.62753331627
M,ene,2014,43292,43196.10777885718,0.9748182005713129,44410.33207487079
M,ene,2015,45469,45455.44674884293,0.9751088578379289,46629.665636323574
M,ene,2016,49081,48949.06306868077,0.9777371588173535,50198.56262737029
M,ene,2017,52715,51595.8374431874,0.9989452033569464,52770.66231746418
M,ene,2018,51845,52184.38355537762,0.992448516960662,52239.48558941219
M,fre,1993,141493,0.0,0.7832526156515037,180647.9763649524
M,fre,1994,145027,143056.3357751063,0.7940422664583394,182643.92983368857
M,fre,1995,151744,148753.00025922753,0.8100081979622452,187336.37558452567
M,fre,1996,160487,158263.4732694347,0.8213884289336699,195385.0265560046
M,fre,1997,168550,166544.82403458058,0.8312778286524474,202760.12927378315
M,fre,1998,176118,174094.86176912568,0.8409380215986083,209430.41636433898
M,fre,1999,183505,181467.87600456135,0.8503782325064174,215792.2122008399
M,fre,2000,192787,190332.94246745354,0.8613425830804269,223821.51281843538
M,fre,2001,203956,199216.51133264689,0.8818344759657598,231286.0355982717
M,fre,2002,205065,205244.08778736467,0.8810650224490952,232746.72671715092
M,fre,2003,211993,207197.63621482882,0.9014563134802961,235167.24751923734
M,fre,2004,216817,213486.38083076332,0.9155200100319136,236823.8789149372
M,fre,2005,220195,218971.1369750701,0.9206369907643517,239176.7897759407
M,fre,2006,224651,222203.1522338274,0.9307789675033985,241358.0536768841
M,fre,2007,228530,225180.41628427984,0.9446244080791376,241926.84208182612
M,fre,2008,240285,233225.22851316546,0.9732183663933368,246897.3133855616
M,fre,2009,250928,247439.04058492277,0.9869410165229503,254248.22334776775
M,fre,2010,252016,248724.92722004786,1.0,252016.0
M,fre,2011,259120,254734.10390144782,1.0172175457913912,254734.10390144782
M,fre,2012,265511,262420.7145760819,1.0291963736053118,257978.9501880049
M,fre,2013,267522,267737.0104041364,1.0283698613203998,260141.81284592373
M,fre,2014,271993,270685.82513677556,1.0333359848037273,263218.3568557932
M,fre,2015,276529,274990.16844183014,1.039118482529441,266118.83500221086
M,fre,2016,289669,288925.2841009589,1.0417932534095642,278048.45064217487
M,fre,2017,299172,296303.8625841697,1.051877516853193,284417.14477842045
M,fre,2018,306375,304537.5175984182,1.0582242108207522,289518.04056947195
M,lan,1993,58473,0.0,0.7694333551260494,75994.88586041464
M,lan,1994,57243,56468.62975087014,0.7799848117759888,73389.89059243395
M,lan,1995,57045,56222.87726993893,0.7913901911162294,72082.01547145781
M,lan,1996,57614,56458.65784706206,0.8075848100123244,71341.11400525323
M,lan,1997,56896,56887.37718872784,0.8077072211999574,70441.36601313698
M,lan,1998,55244,55599.582205288,0.8025416011799925,68836.30695128287
M,lan,1999,54488,53979.80398900327,0.8100971758623625,67261.06647884136
M,lan,2000,54910,53836.889638321234,0.8262445365145986,66457.32295142362
M,lan,2001,57856,54723.155064828214,0.873546195352921,66231.18537723769
M,lan,2002,57214,56766.55997052562,0.8804315788533285,64984.03893521783
M,lan,2003,56105,55914.445977760435,0.8834320517315533,63507.9968969119
M,lan,2004,56403,55318.841675240634,0.9007458671376464,62618.10579185355
M,lan,2005,56149,55838.42733069319,0.9057558049474502,61991.32226732748
M,lan,2006,57874,57329.76577145533,0.9143541884419953,63294.947113015165
M,lan,2007,60263,60222.69172960159,0.9149661842663124,65863.6363138637
M,lan,2008,66041,62999.10035960625,0.9591451533469041,68854.02044680328
M,lan,2009,66148,64393.69218273299,0.9852755984786313,67136.54545199276
M,lan,2010,65225,64264.60091076873,1.0,65225.0
M,lan,2011,65336,63427.217969845195,1.0300940525416435,63427.2179698452
M,lan,2012,66337,64417.678533354454,1.0607856526228754,62535.72513539996
M,lan,2013,66405,66645.44685400979,1.0569584958553528,62826.49721856976
M,lan,2014,66185,65821.21809065914,1.0628001133590992,62274.174765389194
M,lan,2015,66250,65695.4900241925,1.071770794069905,61813.58959075993
M,lan,2016,66286,65321.01350786257,1.0876040502213942,60946.81238683023
M,lan,2017,70210,67078.55963526448,1.1383768641015932,61675.53313322976
M,lan,2018,68144,70343.42323049846,1.1027833088695316,61792.737931311945
M,off,1993,125836,0.0,0.5103755509527975,246555.6975938255
M,off,1994,131398,129168.03605347032,0.5191867020129856,253084.29412876902
M,off,1995,140596,134369.5816736049,0.5432447779254843,258807.82607225585
M,off,1996,151649,142559.2114381933,0.5778828775532251,262421.6876646126
M,off,1997,162750,154001.24271276625,0.6107122037788003,266492.1365464444
M,off,1998,172699,164961.09841942805,0.639359145222408,270112.6609206861
M,off,1999,184412,173930.459991267,0.6778887303274809,272038.7458143942
M,off,2000,196217,184581.06865617874,0.7206226183814803,272288.1505450158
M,off,2001,207754,197719.76567986188,0.7571940566712624,274373.52178029163
M,off,2002,209858,206007.52851243096,0.7713467148135277,272067.0172955011
M,off,2003,213794,208059.24791067006,0.7926074000692674,269735.05417854554
M,off,2004,221885,211668.44978697904,0.8308639910263473,267053.3353189498
M,off,2005,230012,220593.80310605152,0.8663375199713828,265499.2940945209
M,off,2006,241525,231117.79678092702,0.9053485816560706,266775.69821581943
M,off,2007,252821,244269.69860446404,0.9370426830284158,269807.3466439236
M,off,2008,259951,255327.28659267368,0.9540115580537762,272482.023729682
M,off,2009,268806,259828.32895763655,0.986974868764272,272353.4392892443
M,off,2010,275567,271977.70366076415,1.0,275567.0
M,off,2011,284239,280054.31836511823,1.0149423928161894,280054.31836511823
M,off,2012,292764,289754.45469919423,1.025484129308419,285488.5723072462
M,off,2013,298532,298818.2110221801,1.0245019105210336,291392.33117503393
M,off,2014,305461,304049.5288634408,1.0292578951181999,296777.9032337866
M,off,2015,309547,309935.1212837299,1.0279689902213047,301124.8422322153
M,off,2016,315943,317046.0883524978,1.024392410469968,308419.8953163393
M,off,2017,326066,322104.410201278,1.0369915006863055,314434.5925537498
M,off,2018,332594,332839.1050352471,1.0362278529223212,320966.0877788935
M,soe,1993,65326,0.0,0.8915283212492949,73274.17250016124
M,soe,1994,59213,62328.88948192883,0.8469598435800795,69912.4054686088
M,soe,1995,57491,58833.3079455096,0.8276360800987184,69464.10551983502
M,soe,1996,62938,58920.39726442626,0.8840700678829742,71191.18980095502
