sector,year,V,D,P,Q
bol,1993,82528.595,79209.105,0.6170058730945003,133756.579311134
bol,1994,85727.59,83142.959,0.6361864811214784,134752.29754784825
bol,1995,88551.033,86633.907,0.6502646831331513,136176.90656877926
bol,1996,90708.133,88754.013,0.6645817284097876,136489.0563829472
bol,1997,93740.315,91024.28899999999,0.6844118339048817,136964.77815874215
bol,1998,96516.811,94277.91,0.700665167685207,137750.26282362992
bol,1999,98720.035,96232.803,0.7187745521364945,137344.92227996013
bol,2000,102867.404,100032.782,0.7391424167283865,139171.29050084105
bol,2001,107675.103,104725.302,0.7599618653083277,141684.8764593137
bol,2002,113233.22499999999,110030.71,0.7820810470629296,144784.514885308
bol,2003,118851.79999999999,115502.539,0.804759280567104,147686.15021904014
bol,2004,123990.94,120524.787,0.8279032235189842,149765.01658367665
bol,2005,128401.33,124617.19099999999,0.8530434216826862,150521.44678253264
bol,2006,134268.749,130485.163,0.8777785185585717,152964.26850418604
bol,2007,139695.535,135196.162,0.9069912780626649,154020.8140682344
bol,2008,144721.815,140711.801,0.9328387741295312,155141.29452331743
bol,2009,151607.925,146274.244,0.966853405205922,156805.49314268617
bol,2010,161516.561,156162.837,1.0,161516.561
bol,2011,169247.222,164389.12699999998,1.0295524107260454,164389.12699999995
bol,2012,175302.28,170134.652,1.0608237819757742,165251.08409004667
bol,2013,180294.275,175253.463,1.091336236100968,165205.06607948785
bol,2014,185674.905,180640.04,1.1217543572350006,165521.8932758754
bol,2015,191136.839,189140.777,1.133592583139144,168611.58218828845
bol,2016,196753.25400000002,192827.054,1.1566739459852566,170102.6072930218
bol,2017,201998.53600000002,199542.74599999998,1.1709092332445148,172514.25666896056
bol,2018,209700.19400000002,207265.49599999998,1.1846636227757177,177012.43624638653
byg,1993,98731.823,96719.102,0.6582078076108171,150000.99035345664
byg,1994,104097.442,101906.036,0.6723620284544695,154823.49923787997
byg,1995,114040.997,110927.616,0.6912330656226316,164981.975937851
byg,1996,127770.177,124330.393,0.7103570495659598,179867.54277735364
byg,1997,138131.936,134535.932,0.7293441465718912,189391.98545605163
byg,1998,145309.005,142188.36,0.7453512526688941,194953.7274938348
byg,1999,148228.073,144686.996,0.7635930176561705,194119.20954303947
byg,2000,159256.985,155519.048,0.7819461559395183,203667.45688346107
byg,2001,166153.225,160538.225,0.8092955779578594,205305.98402534667
byg,2002,169675.57,165957.831,0.8274251818130789,205064.54689740262
byg,2003,178801.491,175978.73,0.840697374046992,212682.34744123952
byg,2004,186068.742,182084.97,0.859090691514117,216588.00850473702
byg,2005,200374.902,195612.264,0.8800072633546812,227696.87290551397
byg,2006,231851.689,222451.344,0.917194594882064,252783.53175403556
byg,2007,239662.444,227333.108,0.9669383406882613,247857.0079550363
byg,2008,242097.754,229044.962,1.0220421287289212,236876.49187327403
byg,2009,202864.554,210964.404,0.9828014427201812,206414.58709962302
byg,2010,191241.797,187952.714,1.0,191241.797
byg,2011,204101.849,196903.597,1.0365572397339191,196903.597
byg,2012,205612.419,201807.018,1.0561032198278357,194689.6999646669
byg,2013,204879.842,203854.626,1.0614145239658102,193025.28595001542
byg,2014,211968.662,210734.083,1.0676327875847198,198540.79461116184
byg,2015,239397.91,237443.911,1.076418666281385,222402.22833279945
byg,2016,264028.69,258609.905,1.0989734146100136,240250.29767775987
byg,2017,282890.888,276253.267,1.1253787820269252,251373.93073155676
byg,2018,311907.48,302346.925,1.1609645441159606,268662.3649109871
ene,1993,39403.97,38593.848000000005,0.49369524834720846,79814.35942905364
ene,1994,40497.763999999996,40462.876,0.49412092347283076,81959.21701791031
ene,1995,42861.136,43842.865999999995,0.4830565616174498,88729.02141414923
ene,1996,51442.699,47344.562999999995,0.5248698419554834,98010.39207804798
ene,1997,50692.331,49996.755000000005,0.5321720531727517,95255.53004480008
ene,1998,47051.511,49837.33,0.5024245723787834,93648.90490373419
ene,1999,47083.775,47014.429000000004,0.5031656456011377,93575.09880021414
ene,2000,58004.051,45657.554,0.6392292887371128,90740.60281967858
ene,2001,59529.939,59740.08,0.6369807433390399,93456.41861627603
ene,2002,57245.487,57340.334,0.6359271095641917,90018.94421395403
ene,2003,60761.539000000004,58386.666000000005,0.6617933942133621,91813.45648247811
ene,2004,64241.33,63948.608,0.6648227249837976,96629.26308899208
ene,2005,77436.31,65334.206999999995,0.7879703602569187,98273.12536825852
